path,size_bytes,sha256,disposition
CryptoCave/CryptoCave-main-updated/.editorconfig,277,3931662e1eb6cd259871984ab81870c0dc09e2202d025c62d59511f27046e31c,superseded legacy site snapshot: canonical content is in current Astro site
CryptoCave/CryptoCave-main-updated/.github/workflows/documentation.yml,1712,c20fdd0c740f7b8f2c56d5b4d7d11871766198313fc33ae28770d96d729244ec,superseded legacy site snapshot: canonical content is in current Astro site
CryptoCave/CryptoCave-main-updated/.gitignore,231,68f63e39ec92b1c51ad2647b1b72a84fb7f2455086b772c3e7132ff0106586b1,superseded legacy site snapshot: canonical content is in current Astro site
CryptoCave/CryptoCave-main-updated/.markdownlint-cli2.jsonc,492,94559f9d9bce1b5b51d7a78a8ce39ed3f2271ee9274fa9a26950624bea78b9a7,superseded legacy site snapshot: canonical content is in current Astro site
CryptoCave/CryptoCave-main-updated/CONTRIBUTING.md,1837,2580d44fa94a11197ccf01b41255127033981193dd28cc6415eac0b1c11e366a,superseded legacy site snapshot: canonical content is in current Astro site
CryptoCave/CryptoCave-main-updated/docs/cryptographic-protocols/README.md,611,18076617382b69cb9a9bd3376ca428d197fb90d7e318daf7906a407f94806090,superseded legacy site snapshot: canonical content is in current Astro site
CryptoCave/CryptoCave-main-updated/docs/cryptographic-protocols/secret-sharing/reed-solomon-gao-decoding.md,6481,93c5af9bee1b7eea7addbfe5e9f1c38cd921f4061a0ca7283b5d7dbe2b36ee3c,superseded legacy site snapshot: canonical content is in current Astro site
CryptoCave/CryptoCave-main-updated/docs/cryptographic-protocols/secret-sharing/src/ReedGao.py,8171,72c217e1086cc80f48a674efdbe494eab10d679de9af4e29ee4e0c8c9177a6ef,superseded legacy site snapshot: canonical content is in current Astro site
CryptoCave/CryptoCave-main-updated/docs/getting-started/cryptolanguage.png,50032,f65876a6888d09722021866e9cff322cc577dd265515510457cd114e6564d379,superseded legacy site snapshot: canonical content is in current Astro site
CryptoCave/CryptoCave-main-updated/docs/getting-started/logical-operations-and-base64.md,10225,3842879e91e3851a2a0450aae08fee3e16651a8f89f3f1fd2d97c6cf1e322ed3,superseded legacy site snapshot: canonical content is in current Astro site
